Feature,Importance,Original_Feature
trf2__location_Location 215,0.00017873435,location
trf2__location_Location 217,0.00017421262,location
trf2__u_symptom_Symptom 525,0.00017350777,u
trf2__location_Location 246,0.00017319537,location
trf2__u_symptom_Symptom 511,0.00016307016,u
trf2__u_symptom_Symptom 198,0.00016130066,u
trf2__contact_type_Email,0.0001585999,contact
trf2__u_symptom_Symptom 81,0.00014514061,u
trf2__location_Location 105,0.00013930269,location
trf2__u_symptom_Symptom 410,0.00012215972,u
trf2__u_symptom_Symptom 551,0.000110527995,u
trf2__u_symptom_Symptom 73,9.353704e-05,u
trf2__u_symptom_Symptom 341,9.326091e-05,u
trf2__location_Unknown,9.305324e-05,location
trf2__location_Location 202,8.719291e-05,location
trf2__u_symptom_Symptom 528,0.0,u
trf2__u_symptom_Symptom 546,0.0,u
trf2__u_symptom_Symptom 545,0.0,u
trf2__u_symptom_Symptom 547,0.0,u
trf2__location_Location 193,0.0,location
trf2__location_Location 19,0.0,location
trf2__location_Location 181,0.0,location
trf2__u_symptom_Symptom 515,0.0,u
trf2__u_symptom_Symptom 507,0.0,u
trf2__location_Location 182,0.0,location
trf2__location_Location 191,0.0,location
trf2__u_symptom_Symptom 543,0.0,u
trf2__location_Location 164,0.0,location
trf2__location_Location 175,0.0,location
trf2__location_Location 176,0.0,location
trf2__location_Location 166,0.0,location
trf2__u_symptom_Symptom 550,0.0,u
trf2__u_symptom_Symptom 535,0.0,u
trf2__u_symptom_Symptom 536,0.0,u
trf2__u_symptom_Symptom 537,0.0,u
trf2__u_symptom_Symptom 184,0.0,u
trf2__location_Location 178,0.0,location
trf2__u_symptom_Symptom 538,0.0,u
trf2__u_symptom_Symptom 225,0.0,u
trf2__u_symptom_Symptom 185,0.0,u
trf2__u_symptom_Symptom 540,0.0,u
trf2__u_symptom_Symptom 53,0.0,u
trf2__u_symptom_Symptom 182,0.0,u
trf2__location_Location 183,0.0,location
trf2__u_symptom_Symptom 224,0.0,u
trf2__u_symptom_Symptom 542,0.0,u
trf2__location_Location 189,0.0,location
trf2__u_symptom_Symptom 265,0.0,u
trf2__u_symptom_Symptom 552,0.0,u
trf2__u_symptom_Symptom 71,0.0,u
trf2__location_Location 130,0.0,location
trf2__u_symptom_Symptom 19,0.0,u
trf2__u_symptom_Symptom 604,0.0,u
trf2__location_Location 13,0.0,location
trf2__u_symptom_Symptom 193,0.0,u
trf2__u_symptom_Symptom 194,0.0,u
trf2__u_symptom_Symptom 195,0.0,u
trf2__u_symptom_Symptom 61,0.0,u
trf2__u_symptom_Symptom 63,0.0,u
trf2__location_Location 123,0.0,location
trf2__location_Location 120,0.0,location
trf2__location_Location 119,0.0,location
trf2__u_symptom_Symptom 68,0.0,u
trf2__location_Location 115,0.0,location
trf2__u_symptom_Symptom 75,0.0,u
trf2__u_symptom_Symptom 599,0.0,u
trf2__u_symptom_Symptom 77,0.0,u
trf2__u_symptom_Symptom 80,0.0,u
trf2__u_symptom_Symptom 84,0.0,u
trf2__u_symptom_Symptom 2,0.0,u
trf2__u_symptom_Symptom 89,0.0,u
trf2__location_Location 106,0.0,location
trf2__location_Location 102,0.0,location
trf2__u_symptom_Symptom 95,0.0,u
trf2__location_Location 101,0.0,location
trf2__u_symptom_Symptom 98,0.0,u
trf2__location_Location 100,0.0,location
trf2__location_Location 10,0.0,location
trf2__contact_type_Direct opening,0.0,contact
trf2__u_symptom_Symptom 203,0.0,u
trf2__location_Location 132,0.0,location
trf2__location_Location 134,0.0,location
trf2__location_Location 16,0.0,location
trf2__u_symptom_Symptom 575,0.0,u
trf2__u_symptom_Symptom 555,0.0,u
trf2__location_Location 158,0.0,location
trf2__u_symptom_Symptom 558,0.0,u
trf2__location_Location 157,0.0,location
trf2__location_Location 151,0.0,location
trf2__u_symptom_Symptom 563,0.0,u
trf2__u_symptom_Symptom 186,0.0,u
trf2__u_symptom_Symptom 567,0.0,u
trf2__u_symptom_Symptom 568,0.0,u
trf2__u_symptom_Symptom 187,0.0,u
trf2__u_symptom_Symptom 57,0.0,u
trf2__u_symptom_Symptom 570,0.0,u
trf2__location_Location 147,0.0,location
trf2__u_symptom_Symptom 574,0.0,u
trf2__u_symptom_Symptom 576,0.0,u
trf2__u_symptom_Symptom 189,0.0,u
trf2__location_Location 145,0.0,location
